task,k,condition_a,condition_b,b_match,idlekv,random_k,oldest_k,oracle_k,selection_lift,oracle_lift,pct_idlekv_gt_b_match,pct_idlekv_lt_b_match,select_transfer_inject_ms,condition_a_lo,condition_a_hi,condition_b_lo,condition_b_hi,b_match_lo,b_match_hi,idlekv_lo,idlekv_hi,idlekv_coverage,idlekv_coverage_lo,idlekv_coverage_hi,idlekv_mmr,idlekv_mmr_lo,idlekv_mmr_hi,wrong_q_k,wrong_q_k_lo,wrong_q_k_hi,stale_q_k,stale_q_k_lo,stale_q_k_hi,contrastive_q_k,contrastive_q_k_lo,contrastive_q_k_hi,random_k_lo,random_k_hi,oldest_k_lo,oldest_k_hi,oracle_k_lo,oracle_k_hi
mq_niah_8q_split_4678_to_1235,32,0.9791666666666666,0.4270833333333333,0.4270833333333333,0.4895833333333333,0.4270833333333333,0.4270833333333333,0.78125,0.0625,0.354167,0.291667,0.041667,15.271702,0.9479166666666666,1.0,0.3645833333333333,0.5,0.3645833333333333,0.4895833333333333,0.40625,0.5627604166666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3645833333333333,0.5,0.3645833333333333,0.4895833333333333,0.75,0.8125
mq_niah_8q_split_4678_to_1235,48,0.9791666666666666,0.4270833333333333,0.4270833333333333,0.59375,0.4270833333333333,0.4270833333333333,0.9166666666666666,0.166667,0.489583,0.625,0.0,15.400705,0.9479166666666666,1.0,0.3541666666666667,0.4895833333333333,0.3541666666666667,0.4895833333333333,0.53125,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3645833333333333,0.4895833333333333,0.3645833333333333,0.4895833333333333,0.875,0.9583333333333334
mq_niah_8q_split_4678_to_1235,64,0.9791666666666666,0.4270833333333333,0.4270833333333333,0.6666666666666666,0.4270833333333333,0.4270833333333333,0.9895833333333334,0.239583,0.5625,0.791667,0.0,15.703428,0.9479166666666666,1.0,0.3645833333333333,0.4895833333333333,0.3645833333333333,0.5,0.6041666666666666,0.7291666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3645833333333333,0.5,0.3645833333333333,0.5,0.96875,1.0
mq_niah_8q_split_4678_to_1235,80,0.9791666666666666,0.4270833333333333,0.4270833333333333,0.8229166666666666,0.4375,0.4166666666666667,0.9895833333333334,0.395833,0.5625,1.0,0.0,15.672009,0.9479166666666666,1.0,0.3645833333333333,0.4895833333333333,0.3645833333333333,0.5,0.78125,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3645833333333333,0.5104166666666666,0.3541666666666667,0.4895833333333333,0.96875,1.0
mq_niah_8q_split_4678_to_1235,96,0.9791666666666666,0.4270833333333333,0.4270833333333333,0.9583333333333334,0.4375,0.4270833333333333,0.9895833333333334,0.53125,0.5625,1.0,0.0,15.901466,0.9479166666666666,1.0,0.3645833333333333,0.5,0.3645833333333333,0.5,0.9166666666666666,0.9895833333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3645833333333333,0.5,0.3541666666666667,0.5,0.96875,1.0
mq_niah_8q_split_4678_to_1235,128,0.9791666666666666,0.4270833333333333,0.4270833333333333,0.9895833333333334,0.4375,0.4270833333333333,0.9895833333333334,0.5625,0.5625,1.0,0.0,16.0624,0.9479166666666666,1.0,0.3645833333333333,0.4895833333333333,0.3645833333333333,0.5,0.96875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3645833333333333,0.5104166666666666,0.3541666666666667,0.4895833333333333,0.96875,1.0
mq_niah_8q_split_5678_to_1234,8,0.9895833333333334,0.4375,0.4375,0.4375,0.4375,0.4375,0.4479166666666667,0.0,0.010417,0.041667,0.041667,17.260538,0.96875,1.0,0.375,0.5,0.3854166666666667,0.5,0.375,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.5,0.375,0.4895833333333333,0.3854166666666667,0.5208333333333334
mq_niah_8q_split_5678_to_1234,16,0.9895833333333334,0.4375,0.4375,0.4583333333333333,0.4375,0.4479166666666667,0.6145833333333334,0.020833,0.177083,0.083333,0.0,15.678321,0.96875,1.0,0.375,0.5,0.375,0.5,0.40625,0.5104166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.5,0.3854166666666667,0.5,0.5625,0.6666666666666666
mq_niah_8q_split_5678_to_1234,24,0.9895833333333334,0.4375,0.4375,0.5,0.4375,0.4375,0.6875,0.0625,0.25,0.291667,0.041667,15.351942,0.96875,1.0,0.375,0.5,0.3854166666666667,0.5,0.4270833333333333,0.5729166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.5,0.375,0.5,0.6354166666666666,0.7395833333333334
mq_niah_8q_split_5678_to_1234,32,0.9895833333333334,0.4375,0.4375,0.4791666666666667,0.4375,0.4479166666666667,0.7708333333333334,0.041667,0.333333,0.25,0.083333,15.671082,0.96875,1.0,0.375,0.5,0.375,0.5,0.3958333333333333,0.5416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.4895833333333333,0.3958333333333333,0.5,0.75,0.8020833333333334
mq_niah_8q_split_5678_to_1234,48,0.9895833333333334,0.4375,0.4479166666666667,0.5625,0.4375,0.4479166666666667,0.90625,0.114583,0.458333,0.458333,0.041667,15.513897,0.96875,1.0,0.3854166666666667,0.5,0.3854166666666667,0.5,0.5104166666666666,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.5,0.3958333333333333,0.5104166666666666,0.8541666666666666,0.9479166666666666
mq_niah_8q_split_5678_to_1234,64,0.9895833333333334,0.4375,0.4375,0.6458333333333334,0.4479166666666667,0.4479166666666667,0.9895833333333334,0.208333,0.552083,0.666667,0.041667,15.575845,0.96875,1.0,0.375,0.5,0.375,0.5,0.59375,0.7083333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3958333333333333,0.5,0.3854166666666667,0.5104166666666666,0.96875,1.0
mq_niah_8q_split_5678_to_1234,80,0.9895833333333334,0.4375,0.4479166666666667,0.78125,0.4375,0.4479166666666667,0.9895833333333334,0.333333,0.541667,0.916667,0.0,16.469718,0.96875,1.0,0.375,0.5,0.3854166666666667,0.5104166666666666,0.75,0.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.5,0.3958333333333333,0.5,0.96875,1.0
mq_niah_8q_split_5678_to_1234,96,0.9895833333333334,0.4375,0.4583333333333333,0.9375,0.4375,0.4375,0.9895833333333334,0.479167,0.53125,1.0,0.0,15.711715,0.96875,1.0,0.375,0.5,0.3958333333333333,0.5208333333333334,0.8958333333333334,0.9791666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.5,0.375,0.5,0.96875,1.0
mq_niah_8q_split_5678_to_1234,128,0.9895833333333334,0.4375,0.4583333333333333,0.9895833333333334,0.4375,0.4479166666666667,0.9895833333333334,0.53125,0.53125,1.0,0.0,35.845593,0.96875,1.0,0.38515625000000003,0.5,0.3958333333333333,0.5208333333333334,0.96875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.5,0.3854166666666667,0.5104166666666666,0.96875,1.0
