candidate_tokens,k,query_len,chunk_tokens,candidate_chunks,source_pool_chunks,host_pool_tokens,host_pool_coverage,trials,device,dtype,n_layers,n_query_heads,n_kv_heads,head_dim,key_bytes_per_token,streamed_key_bytes,offloaded_kv_bytes,selected_kv_bytes,pin_memory_requested,pin_memory_effective,p50_scan_ms,p95_scan_ms,p99_scan_ms,p50_topk_ms,p95_topk_ms,p99_topk_ms,p50_total_ms,p95_total_ms,p99_total_ms,mean_total_ms
32768,1024,64,16384,2,2,32768,1.0,80,cuda,bfloat16,28,28,4,128,28672,939524096,1879048192,58720256,True,True,36.9359920732677,36.98884908808395,37.0124243455939,0.0803015427663922,0.0918516190722584,0.0950236921198666,37.01817896217108,37.06908606691286,37.09297523833811,37.02319319418166
32768,5000,64,16384,2,2,32768,1.0,80,cuda,bfloat16,28,28,4,128,28672,939524096,1879048192,286720000,True,True,36.9359920732677,36.98884908808395,37.0124243455939,0.0796205131337046,0.094582512974739,0.0978058436885476,37.01700852252543,37.06777095794678,37.09081767126918,37.02284905011766
65536,96,64,16384,4,4,65536,1.0,80,cuda,bfloat16,28,28,4,128,28672,1879048192,3758096384,5505024,True,True,73.9111885195598,75.88980020955205,75.99868940887973,0.1568640582263469,0.1758971018716693,0.2044944302178918,74.06843756325543,76.06155368266627,76.15282090380788,74.59820315707475
65536,512,64,16384,4,4,65536,1.0,80,cuda,bfloat16,28,28,4,128,28672,1879048192,3758096384,29360128,True,True,73.9111885195598,75.88980020955205,75.99868940887973,0.0869979849085211,0.1036017900332808,0.1244192710146307,74.00089153088629,76.00851341849193,76.0860514943488,74.53322673391085
65536,1024,64,16384,4,4,65536,1.0,80,cuda,bfloat16,28,28,4,128,28672,1879048192,3758096384,58720256,True,True,73.9111885195598,75.88980020955205,75.99868940887973,0.0807719770818948,0.0951461144722998,0.1097465376369655,73.99487402290106,75.97533493535593,76.08454387169331,74.52669502526987
65536,5000,64,16384,4,4,65536,1.0,80,cuda,bfloat16,28,28,4,128,28672,1879048192,3758096384,286720000,True,True,73.9111885195598,75.88980020955205,75.99868940887973,0.0805404270067811,0.0974120339378714,0.1136849587783217,73.9937904290855,75.98422383889556,76.08913176460192,74.5270141545916
131072,96,64,16384,8,8,131072,1.0,80,cuda,bfloat16,28,28,4,128,28672,3758096384,7516192768,5505024,True,True,147.5115765351802,148.56722857803106,149.05686270678416,0.1568100415170192,0.1699644257314503,0.1881370786577462,147.66928646713495,148.7236623186618,149.22605231637135,147.7598420198774
131072,512,64,16384,8,8,131072,1.0,80,cuda,bfloat16,28,28,4,128,28672,3758096384,7516192768,29360128,True,True,147.5115765351802,148.56722857803106,149.05686270678416,0.0916649587452411,0.0990571221336722,0.1126136351376769,147.6028689648956,148.65900593576953,149.1510559641756,147.6969709037803
131072,1024,64,16384,8,8,131072,1.0,80,cuda,bfloat16,28,28,4,128,28672,3758096384,7516192768,58720256,True,True,147.5115765351802,148.56722857803106,149.05686270678416,0.0878785504028201,0.0938561046496033,0.1068904693238437,147.59931317530572,148.65596663439646,149.14674864150584,147.6924941787729
131072,5000,64,16384,8,8,131072,1.0,80,cuda,bfloat16,28,28,4,128,28672,3758096384,7516192768,286720000,True,True,147.5115765351802,148.56722857803106,149.05686270678416,0.0877249985933303,0.0946559128351509,0.1120494445785878,147.59970153681934,148.6565402126871,149.14678753819317,147.69282978668343
262144,96,64,16384,16,16,262144,1.0,80,cuda,bfloat16,28,28,4,128,28672,7516192768,15032385536,5505024,True,True,288.9360236003995,295.9141361061484,296.04874732671306,0.1580528914928436,0.170272693503648,0.1884016371332108,289.08808063715696,296.06975766364485,296.2063151714392,291.0330495098606
262144,512,64,16384,16,16,262144,1.0,80,cuda,bfloat16,28,28,4,128,28672,7516192768,15032385536,29360128,True,True,288.9360236003995,295.9141361061484,296.04874732671306,0.1006415113806724,0.1110541867092251,0.1182066206820307,289.0367666259408,296.01429533213377,296.1495131650008,290.97692729556
262144,1024,64,16384,16,16,262144,1.0,80,cuda,bfloat16,28,28,4,128,28672,7516192768,15032385536,58720256,True,True,288.9360236003995,295.9141361061484,296.04874732671306,0.0960739562287926,0.1036027213558554,0.1068091741763055,289.03216519393027,296.0102409007959,296.1440268601291,290.9718410548521
262144,5000,64,16384,16,16,262144,1.0,80,cuda,bfloat16,28,28,4,128,28672,7516192768,15032385536,286720000,True,True,288.9360236003995,295.9141361061484,296.04874732671306,0.0959704630076885,0.1035285764373838,0.1081796246580779,289.03194214217365,296.0091712884605,296.14509584149346,290.9714166657068
